gene,rho,pval
ENSG00000119487.15,0.4805993126072804,2.719731401795148e-26
ENSG00000114554.10,0.4804732041850714,2.813961628492908e-26
ENSG00000006194.9,0.4804558542063321,2.8271756613383515e-26
ENSG00000102178.11,0.4804026005440235,2.868118530735479e-26
ENSG00000068120.13,0.48038239610967454,2.8838050416544045e-26
ENSG00000088543.13,0.4802701760174956,2.9724865624403933e-26
ENSG00000110107.7,0.4801660611837618,3.057169327382346e-26
ENSG00000087191.11,0.4801458390414594,3.073891446621878e-26
ENSG00000105401.5,0.47982524862936454,3.351388563529051e-26
ENSG00000105393.14,0.47974859827600064,3.4213185278046283e-26
ENSG00000068654.14,0.4797247281490785,3.443388699752636e-26
ENSG00000008256.14,0.4795728035073746,3.587190262299004e-26
ENSG00000070495.13,0.4795224756903828,3.636122857560539e-26
ENSG00000104731.12,0.4794086934267365,3.749194289300588e-26
ENSG00000008441.15,0.47923517483517764,3.928348600300424e-26
ENSG00000099817.10,0.4792110616539684,3.9539050209307457e-26
ENSG00000115216.12,0.479088772067753,4.086064028663693e-26
ENSG00000013523.8,0.4789883253472452,4.1978736319877096e-26
ENSG00000094914.11,0.4786433464280153,4.6053854583893593e-26
ENSG00000115241.10,0.4785671322876263,4.700554209506893e-26
ENSG00000115053.14,0.47850189740387383,4.783554187211489e-26
ENSG00000106608.15,0.4784233867244907,4.8853665801753126e-26
ENSG00000064547.12,0.4783571515813154,4.9729224262904707e-26
ENSG00000105447.11,0.47823789837777064,5.134487302459165e-26
ENSG00000087087.17,0.478192382878766,5.197509636953485e-26
ENSG00000092096.13,0.47798817134529864,5.489802577112542e-26
ENSG00000103257.7,0.477867119192971,5.6706709354901e-26
ENSG00000111203.10,0.4778250862761045,5.734840437955043e-26
ENSG00000013306.14,0.47770841116315815,5.9167449784273e-26
ENSG00000101391.19,0.47760031766198646,6.090349985742928e-26
ENSG00000073536.16,0.4773438790987106,6.522589118626683e-26
ENSG00000101189.6,0.47733096788055535,6.545135084272014e-26
ENSG00000114767.6,0.47720855266707907,6.762761445281487e-26
ENSG00000005486.15,0.4769217049181667,7.301101686829798e-26
ENSG00000106266.7,0.4763685228193486,8.461544289933149e-26
ENSG00000074181.7,0.4763551546289479,8.491732255434655e-26
ENSG00000103876.10,0.47632046060472044,8.570575238333671e-26
ENSG00000085552.15,0.4760624081907981,9.180136624564734e-26
ENSG00000025772.7,0.47584231259654386,9.7337295275215e-26
ENSG00000011347.8,0.47554536584899465,1.0533185052687119e-25
ENSG00000108604.14,0.47546285587656195,1.0766609773870912e-25
ENSG00000101945.15,0.47544449715454623,1.0819238275307818e-25
ENSG00000105443.12,0.4753457039943656,1.110683868756297e-25
ENSG00000086475.13,0.4752379344710159,1.1429184954713802e-25
ENSG00000090776.5,0.47521167011484683,1.1509133363001945e-25
ENSG00000068903.18,0.47516441317048075,1.1654376300422018e-25
ENSG00000055118.13,0.47513536899657,1.174453939527996e-25
ENSG00000079999.12,0.4750021939109506,1.21668608314536e-25
ENSG00000103005.10,0.47492065761729524,1.2432792413408172e-25
ENSG00000030582.15,0.47491988388878686,1.2435343233902698e-25
ENSG00000104529.16,0.47477859398571354,1.2909916960231685e-25
ENSG00000115042.8,0.474681289890709,1.3247104441071473e-25
ENSG00000102316.15,0.4745170344454085,1.3836139547582163e-25
